Marshall County Hospital ,163,5.30%,"2,495",81.20%,303,9.90%,111,3.60%,"3,072"
Parkway Regional Hospital ,784,23.50%,"1,987",59.50%,356,10.70%,210,6.30%,"3,337"
Jackson Purchase Medical Center ,"2,773",17.60%,"10,201",64.70%,"1,932",12.30%,860,5.50%,"15,766"
Murray Calloway County Hospital ,"2,472",13.00%,"10,680",56.00%,"4,741",24.90%,"1,164",6.10%,"19,057"
Lourdes Hospital ,"4,099",8.00%,"32,431",63.50%,"9,018",17.70%,"5,485",10.70%,"51,033"
Baptist Hospital Paducah ,"8,480",13.40%,"35,576",56.10%,"14,685",23.20%,"4,626",7.30%,"63,367"
Cumberland Hall ,"4,237",17.60%,"1,486",6.20%,"1,907",7.90%,"16,469",68.30%,"24,099"
Trigg County Hospital Inc ,33,2.30%,"1,216",86.40%,117,8.30%,42,3.00%,"1,408"
Muhlenberg Community Hospital ,"1,987",28.40%,"1,918",27.40%,"2,129",30.40%,969,13.80%,"7,003"
Jennie Stuart Medical Center Inc ,"5,556",21.20%,"13,264",50.50%,"5,965",22.70%,"1,483",5.60%,"26,268"
Baptist Health Madisonville ,"5,596",14.50%,"23,084",59.80%,"6,514",16.90%,"3,419",8.90%,"38,613"
Crittenden Health Systems ,393,9.50%,"2,836",68.80%,608,14.80%,283,6.90%,"4,120"
Caldwell Medical Center ,95,5.90%,"1,150",71.30%,43,2.70%,325,20.10%,"1,613"
Livingston Hosp & Healthcare Svcs Inc ,498,13.70%,"2,468",67.90%,424,11.70%,244,6.70%,"3,634"
Owensboro Medical Health System ,"12,525",16.80%,"35,301",47.30%,"19,256",25.80%,"7,623",10.20%,"74,705"
Ohio County Hospital ,221,5.90%,"2,645",70.10%,600,15.90%,305,8.10%,"3,771"
Methodist Hospital ,"5,778",23.20%,"6,905",27.70%,"11,672",46.80%,590,2.40%,"24,945"
Methodist Hospital Union County ,306,12.70%,919,38.20%,"1,099",45.70%,80,3.30%,"2,404"
River Valley Behavioral Health Hospital ,"4,149",81.10%,,0.00%,791,15.50%,176,3.40%,"5,116"
Southern Kentucky Rehabilitation Hospital ,805,4.90%,"13,031",79.80%,"2,354",14.40%,139,0.90%,"16,329"
Tri Star Greenview Regional Hospital ,"1,081",7.40%,"10,028",68.50%,"2,785",19.00%,750,5.10%,"14,644"
The Medical Center at Bowling Green ,"13,381",14.90%,"51,317",57.30%,"17,504",19.50%,"7,413",8.30%,"89,615"
The Medical Center at Franklin ,218,5.20%,"3,199",75.80%,556,13.20%,247,5.90%,"4,220"
T J Samson Community Hospital ,"4,986",23.40%,"11,360",53.40%,"3,711",17.40%,"1,235",5.80%,"21,292"
Logan Memorial Hospital ,462,8.30%,"4,254",76.30%,660,11.80%,198,3.60%,"5,574"
The Medical Center at Scottsville ,120,7.00%,"1,281",74.20%,158,9.20%,167,9.70%,"1,726"
Monroe County Medical Center ,"1,138",12.40%,"6,939",75.90%,568,6.20%,500,5.50%,"9,145"
Rivendell Behavioral Health Services ,"16,011",80.30%,99,0.50%,"3,161",15.90%,658,3.30%,"19,929"
Caverna Memorial Hospital Inc ,126,10.90%,834,72.30%,129,11.20%,64,5.60%,"1,153"
Commonwealth Regional Specialty Hospital ,63,1.00%,"5,662",90.40%,539,8.60%,,0.00%,"6,264"
Healthsouth Lakeview Rehabilitation Hospital of Central ,71,1.10%,"5,201",78.20%,"1,031",15.50%,352,5.30%,"6,655"
Flaget Memorial Hospital ,"1,076",12.40%,"4,785",55.30%,"2,161",25.00%,625,7.20%,"8,647"
Hardin Memorial Hospital ,"7,820",13.60%,"33,984",59.20%,"10,169",17.70%,"5,473",9.50%,"57,446"
Breckinridge Memorial Hospital ,225,6.30%,"2,871",80.80%,339,9.50%,120,3.40%,"3,555"
Springview Hospital ,"1,573",24.60%,"3,261",50.90%,"1,345",21.00%,222,3.50%,"6,401"
Twin Lakes Regional Medical Center ,"2,288",20.30%,"6,489",57.70%,"1,712",15.20%,764,6.80%,"11,253"
Lincoln Trail Behavioral Health System ,"13,515",42.00%,"6,763",21.00%,"2,362",7.30%,"9,528",29.60%,"32,168"
The Brook Hospital KMI ,"19,262",62.60%,"2,884",9.40%,"6,665",21.70%,"1,971",6.40%,"30,782"
Baptist Hospital East ,"7,117",5.10%,"83,618",60.40%,"43,555",31.50%,"4,090",3.00%,"138,380"
The Brook - Dupont ,"11,071",44.20%,"4,310",17.20%,"4,565",18.20%,"5,110",20.40%,"25,056"
Baptist Hospital Northeast ,"2,326",19.60%,"5,889",49.60%,"2,678",22.60%,974,8.20%,"11,867"
